企业名称,统一社会信用代码,法定代表人,注册资本,企业地址,交易流水号,交易日期,交易类型,交易金额,对手方名称,对手方账号
杭州钱塘11号企业服务有限公司,91330100MA11156944H,钱二华,1936万元人民币,浙江省杭州市钱塘区11号大街625号,TX20260617000011,2026-05-19,消费,166591.72,浙江11号商贸有限公司,6228485733062485194
杭州钱塘12号企业服务有限公司,91330100MA12641370H,李一明,2703万元人民币,浙江省杭州市钱塘区12号大街879号,TX20260617000012,2026-05-25,消费,300450.26,浙江12号商贸有限公司,6228481302156467260
杭州钱塘13号企业服务有限公司,91330100MA13996260H,郑十军,1290万元人民币,浙江省杭州市钱塘区13号大街998号,TX20260617000013,2026-05-27,收款,132282.50,浙江13号商贸有限公司,6228487848963981571
杭州钱塘14号企业服务有限公司,91330100MA14237917H,孙七伟,3972万元人民币,浙江省杭州市钱塘区14号大街918号,TX20260617000014,2026-06-01,提现,173488.73,浙江14号商贸有限公司,6228481274719314816
杭州钱塘15号企业服务有限公司,91330100MA15731916H,郑四伟,722万元人民币,浙江省杭州市钱塘区15号大街113号,TX20260617000015,2026-05-30,转账,3795.35,浙江15号商贸有限公司,6228482492136799917
杭州钱塘16号企业服务有限公司,91330100MA16277380H,周四明,1969万元人民币,浙江省杭州市钱塘区16号大街454号,TX20260617000016,2026-06-08,消费,366119.79,浙江16号商贸有限公司,6228481368660945008
杭州钱塘17号企业服务有限公司,91330100MA17139366H,钱八华,2755万元人民币,浙江省杭州市钱塘区17号大街488号,TX20260617000017,2026-05-30,提现,235650.94,浙江17号商贸有限公司,6228489333450817952
杭州钱塘18号企业服务有限公司,91330100MA18280283H,郑五华,3350万元人民币,浙江省杭州市钱塘区18号大街935号,TX20260617000018,2026-05-30,收款,17615.93,浙江18号商贸有限公司,6228489499612097834
杭州钱塘19号企业服务有限公司,91330100MA19383624H,吴一华,4874万元人民币,浙江省杭州市钱塘区19号大街656号,TX20260617000019,2026-05-22,退款,116697.46,浙江19号商贸有限公司,6228487372483567046
杭州钱塘20号企业服务有限公司,91330100MA20435446H,郑二伟,1373万元人民币,浙江省杭州市钱塘区20号大街789号,TX20260617000020,2026-06-08,消费,68925.56,浙江20号商贸有限公司,6228486798302404454
杭州钱塘21号企业服务有限公司,91330100MA21286714H,孙七强,1737万元人民币,浙江省杭州市钱塘区21号大街503号,TX20260617000021,2026-05-26,消费,188215.83,浙江21号商贸有限公司,6228481249525562238
杭州钱塘22号企业服务有限公司,91330100MA22883303H,郑六伟,3494万元人民币,浙江省杭州市钱塘区22号大街390号,TX20260617000022,2026-05-26,转账,190468.56,浙江22号商贸有限公司,6228484070400783259
杭州钱塘23号企业服务有限公司,91330100MA23250409H,李七华,474万元人民币,浙江省杭州市钱塘区23号大街770号,TX20260617000023,2026-06-16,收款,495258.26,浙江23号商贸有限公司,6228486062015975407
杭州钱塘24号企业服务有限公司,91330100MA24937520H,赵十伟,3449万元人民币,浙江省杭州市钱塘区24号大街419号,TX20260617000024,2026-05-22,提现,204097.62,浙江24号商贸有限公司,6228488106627724127
杭州钱塘25号企业服务有限公司,91330100MA25628464H,钱九明,802万元人民币,浙江省杭州市钱塘区25号大街604号,TX20260617000025,2026-06-16,提现,333165.72,浙江25号商贸有限公司,6228486038393252622
杭州钱塘26号企业服务有限公司,91330100MA26299683H,周五华,4242万元人民币,浙江省杭州市钱塘区26号大街312号,TX20260617000026,2026-06-09,收款,375310.07,浙江26号商贸有限公司,6228483041145844443
杭州钱塘27号企业服务有限公司,91330100MA27500244H,吴二明,674万元人民币,浙江省杭州市钱塘区27号大街651号,TX20260617000027,2026-05-20,消费,41175.78,浙江27号商贸有限公司,6228487613902032194
杭州钱塘28号企业服务有限公司,91330100MA28402228H,吴五明,4786万元人民币,浙江省杭州市钱塘区28号大街790号,TX20260617000028,2026-06-09,退款,388948.87,浙江28号商贸有限公司,6228483042566757127
杭州钱塘29号企业服务有限公司,91330100MA29346118H,钱七军,1453万元人民币,浙江省杭州市钱塘区29号大街131号,TX20260617000029,2026-05-28,收款,58933.69,浙江29号商贸有限公司,6228483612991297768
杭州钱塘30号企业服务有限公司,91330100MA30708250H,郑八华,351万元人民币,浙江省杭州市钱塘区30号大街839号,TX20260617000030,2026-06-09,消费,37198.25,浙江30号商贸有限公司,6228489612709045775
杭州钱塘31号企业服务有限公司,91330100MA31854810H,郑四军,554万元人民币,浙江省杭州市钱塘区31号大街376号,TX20260617000031,2026-06-07,转账,448924.13,浙江31号商贸有限公司,6228484361234152411
杭州钱塘32号企业服务有限公司,91330100MA32260556H,周九华,4684万元人民币,浙江省杭州市钱塘区32号大街810号,TX20260617000032,2026-06-12,收款,252852.63,浙江32号商贸有限公司,6228484185768299338
杭州钱塘33号企业服务有限公司,91330100MA33782803H,郑一华,463万元人民币,浙江省杭州市钱塘区33号大街928号,TX20260617000033,2026-05-24,转账,125599.97,浙江33号商贸有限公司,6228487748014737562
杭州钱塘34号企业服务有限公司,91330100MA34363957H,吴七强,2312万元人民币,浙江省杭州市钱塘区34号大街183号,TX20260617000034,2026-06-16,收款,247463.70,浙江34号商贸有限公司,6228489738245261925
杭州钱塘35号企业服务有限公司,91330100MA35913236H,周三华,714万元人民币,浙江省杭州市钱塘区35号大街372号,TX20260617000035,2026-06-11,转账,55879.95,浙江35号商贸有限公司,6228484329091454867
杭州钱塘36号企业服务有限公司,91330100MA36202901H,周七华,3904万元人民币,浙江省杭州市钱塘区36号大街923号,TX20260617000036,2026-06-10,收款,387296.01,浙江36号商贸有限公司,6228486750480554926
杭州钱塘37号企业服务有限公司,91330100MA37709670H,李三强,1148万元人民币,浙江省杭州市钱塘区37号大街227号,TX20260617000037,2026-06-01,退款,324755.50,浙江37号商贸有限公司,6228482636207878788
杭州钱塘38号企业服务有限公司,91330100MA38284619H,郑七强,383万元人民币,浙江省杭州市钱塘区38号大街153号,TX20260617000038,2026-05-24,收款,323950.29,浙江38号商贸有限公司,6228484667464904647
杭州钱塘39号企业服务有限公司,91330100MA39840064H,王十明,804万元人民币,浙江省杭州市钱塘区39号大街268号,TX20260617000039,2026-05-31,转账,103587.53,浙江39号商贸有限公司,6228485077261351881
杭州钱塘40号企业服务有限公司,91330100MA40308424H,吴九伟,2915万元人民币,浙江省杭州市钱塘区40号大街497号,TX20260617000040,2026-05-19,转账,8182.56,浙江40号商贸有限公司,6228489257589656168
杭州钱塘41号企业服务有限公司,91330100MA41900757H,李二华,1253万元人民币,浙江省杭州市钱塘区41号大街107号,TX20260617000041,2026-05-27,收款,200641.99,浙江41号商贸有限公司,6228487619550260085
杭州钱塘42号企业服务有限公司,91330100MA42760457H,周五明,1259万元人民币,浙江省杭州市钱塘区42号大街641号,TX20260617000042,2026-06-01,收款,173849.60,浙江42号商贸有限公司,6228488250582936835
杭州钱塘43号企业服务有限公司,91330100MA43150104H,李五军,539万元人民币,浙江省杭州市钱塘区43号大街636号,TX20260617000043,2026-06-10,转账,213749.07,浙江43号商贸有限公司,6228484653149599110
杭州钱塘44号企业服务有限公司,91330100MA44666481H,孙十强,1703万元人民币,浙江省杭州市钱塘区44号大街426号,TX20260617000044,2026-06-09,转账,174565.97,浙江44号商贸有限公司,6228489099821797620
杭州钱塘45号企业服务有限公司,91330100MA45274588H,赵十伟,951万元人民币,浙江省杭州市钱塘区45号大街643号,TX20260617000045,2026-05-31,提现,54844.54,浙江45号商贸有限公司,6228489272748244041
杭州钱塘46号企业服务有限公司,91330100MA46391138H,吴十军,1097万元人民币,浙江省杭州市钱塘区46号大街509号,TX20260617000046,2026-06-03,转账,44985.15,浙江46号商贸有限公司,6228485185345666170
杭州钱塘47号企业服务有限公司,91330100MA47416611H,吴五强,539万元人民币,浙江省杭州市钱塘区47号大街591号,TX20260617000047,2026-06-02,转账,39340.82,浙江47号商贸有限公司,6228483912291351068
杭州钱塘48号企业服务有限公司,91330100MA48360523H,周二华,2108万元人民币,浙江省杭州市钱塘区48号大街40号,TX20260617000048,2026-06-03,转账,278587.97,浙江48号商贸有限公司,6228482499256771293
杭州钱塘49号企业服务有限公司,91330100MA49307320H,孙一军,1580万元人民币,浙江省杭州市钱塘区49号大街182号,TX20260617000049,2026-06-15,提现,29485.65,浙江49号商贸有限公司,6228483796157979028
杭州钱塘50号企业服务有限公司,91330100MA50199376H,郑十强,2636万元人民币,浙江省杭州市钱塘区50号大街967号,TX20260617000050,2026-06-14,消费,374788.03,浙江50号商贸有限公司,6228488368288050510
